,,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_hms,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,timestamp_seconds,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff,times_diff
event,,courier_arrived_at_delivery,courier_at_pickup,courier_starts_order,first_stack_order_courier,food_ready,last_stacking,new_stack_order_courier,order_courier_dispatched,order_delivered,order_new,order_picked_up,partner_start_preparing_order,send_order_partner,courier_arrived_at_delivery,courier_at_pickup,courier_starts_order,first_stack_order_courier,food_ready,last_stacking,new_stack_order_courier,order_courier_dispatched,order_delivered,order_new,order_picked_up,partner_start_preparing_order,send_order_partner,courier_delivery_time,customer_delivery_time,activation_to_first_stacking,first_stacking_to_last_stacking,last_stacking_to_courier_start,start_to_pickup_time,waiting_time_pickup,food_getting_cold,pickup_to_delivery_time,waiting_delivery_time,activation_to_partner_dispatch,partner_dispatch_to_enter_pickup
,order_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,81792709.0,,09:36:53,09:15:00,09:04:00,09:56:53,09:04:00,,09:15:00,,09:00:15,09:56:53,09:36:53,09:16:53,,34613.0,33300.0,32640,35813.0,32640,,33300.0,,32415,35813.0,34613.0,33413.0,,,225.0,0.0,660.0,1313.0,1200.0,0.0,,,998.0,1200.0
1,81844640.0,08:43:57,08:31:02,08:19:00,08:12:00,08:31:53,08:12:00,,08:19:00,08:47:54,00:00:30,08:31:53,08:18:22,08:18:22,31437.0,30662.0,29940.0,29520,30713.0,29520,,29940.0,31674.0,30,30713.0,29902.0,29902.0,1734.0,31644.0,29490.0,0.0,420.0,722.0,51.0,0.0,724.0,237.0,29872.0,760.0
2,81844642.0,,,09:52:00,09:52:00,,09:52:00,,09:52:00,,00:00:31,,,,,,35520.0,35520,,35520,,35520.0,,31,,,,,,35489.0,0.0,0.0,,,,,,,
3,81844788.0,08:54:16,08:40:55,08:35:00,08:23:00,08:41:33,08:23:00,,08:35:00,08:56:53,00:01:32,08:41:33,08:26:33,08:26:33,32056.0,31255.0,30900.0,30180,31293.0,30180,,30900.0,32213.0,92,31293.0,30393.0,30393.0,1313.0,32121.0,30088.0,0.0,720.0,355.0,38.0,0.0,763.0,157.0,30301.0,862.0
4,81845121.0,00:33:20,00:16:23,00:08:00,00:08:00,00:23:00,00:08:00,,00:08:00,00:36:36,00:03:47,00:23:00,00:08:00,00:08:00,2000.0,983.0,480.0,480,1380.0,480,,480.0,2196.0,227,1380.0,480.0,480.0,1716.0,1969.0,253.0,0.0,0.0,503.0,397.0,0.0,620.0,196.0,253.0,503.0
5,81845420.0,,,09:58:00,09:46:00,,09:46:00,,09:58:00,,00:05:41,,,,,,35880.0,35160,,35160,,35880.0,,341,,,,,,34819.0,0.0,720.0,,,,,,,
6,81845509.0,,,09:47:00,09:47:00,,09:47:00,,09:47:00,,00:06:17,,09:58:38,09:58:38,,,35220.0,35220,,35220,,35220.0,,377,,35918.0,35918.0,,,34843.0,0.0,0.0,,,,,,35541.0,
7,81845733.0,09:23:07,09:15:02,09:02:00,08:58:00,09:14:48,08:58:00,,09:02:00,09:33:43,00:07:39,09:15:02,08:59:48,08:59:48,33787.0,33302.0,32520.0,32280,33288.0,32280,,32520.0,34423.0,459,33302.0,32388.0,32388.0,1903.0,33964.0,31821.0,0.0,240.0,782.0,0.0,14.0,485.0,636.0,31929.0,914.0
8,81845742.0,09:47:33,09:39:41,09:28:00,09:15:00,09:39:14,09:15:00,,09:28:00,09:49:53,00:07:43,09:39:41,09:24:14,09:24:14,35253.0,34781.0,34080.0,33300,34754.0,33300,,34080.0,35393.0,463,34781.0,33854.0,33854.0,1313.0,34930.0,32837.0,0.0,780.0,701.0,0.0,27.0,472.0,140.0,33391.0,927.0
9,81845875.0,08:17:38,07:49:18,07:47:00,07:47:00,08:03:14,07:47:00,,07:47:00,08:19:00,00:08:37,08:03:14,07:47:00,07:47:00,29858.0,28158.0,28020.0,28020,28994.0,28020,,28020.0,29940.0,517,28994.0,28020.0,28020.0,1920.0,29423.0,27503.0,0.0,0.0,138.0,836.0,0.0,864.0,82.0,27503.0,138.0
10,81846062.0,00:56:36,00:45:23,00:37:00,00:24:00,00:45:59,00:24:00,,00:37:00,01:00:19,00:09:44,00:45:59,00:30:59,00:30:59,3396.0,2723.0,2220.0,1440,2759.0,1440,,2220.0,3619.0,584,2759.0,1859.0,1859.0,1399.0,3035.0,856.0,0.0,780.0,503.0,36.0,0.0,637.0,223.0,1275.0,864.0
11,81846119.0,09:55:14,09:45:10,09:34:00,09:16:00,09:45:51,09:16:00,,09:34:00,,00:10:07,09:45:51,09:31:13,09:31:13,35714.0,35110.0,34440.0,33360,35151.0,33360,,34440.0,,607,35151.0,34273.0,34273.0,,,32753.0,0.0,1080.0,670.0,41.0,0.0,563.0,,33666.0,837.0
